df,method,metric,mean,std,n_seeds
2.0,gaussian_fm,mmd,0.0369461,0.0127416,3
2.0,gaussian_fm,nan_rate,0,0,3
2.0,gaussian_fm,nfe,512,0,3
2.0,gaussian_fm,q950_err,0.0254515,0.0129816,3
2.0,gaussian_fm,q990_err,0.474111,0.0157272,3
2.0,gaussian_fm,q995_err,0.596785,0.0191939,3
2.0,gaussian_fm,radial_w1,19.1238,0.546901,3
2.0,gaussian_fm,sample_time_s,0.158529,0.0188038,3
2.0,gaussian_fm,sliced_w1,3.95347,0.465536,3
2.0,gaussian_fm,tail_exc_95,0.009,0.00475815,3
2.0,gaussian_fm,tail_exc_99,0.01,0,3
2.0,gaussian_fm,total_train_time_s,17.2222,0.368405,3
2.0,rafm_empirical,angular_sw_bin0,0.025115,0.00236643,3
2.0,rafm_empirical,angular_sw_bin1,0.0211001,0.0013861,3
2.0,rafm_empirical,angular_sw_bin2,0.0235951,0.00180441,3
2.0,rafm_empirical,angular_sw_bin3,0.0213008,0.00303935,3
2.0,rafm_empirical,angular_sw_mean,0.0227778,0.00115571,3
2.0,rafm_empirical,exploding_norm_rate,3.33333e-05,4.71405e-05,3
2.0,rafm_empirical,invalid_rate,3.33333e-05,4.71405e-05,3
2.0,rafm_empirical,ks_stat,0.0128667,0.000771741,3
2.0,rafm_empirical,mmd,0.00190421,0.000252915,3
2.0,rafm_empirical,nan_rate,0,0,3
2.0,rafm_empirical,nfe,512,0,3
2.0,rafm_empirical,q950_err,0.0358666,0.0116913,3
2.0,rafm_empirical,q990_err,0.0635409,0.0186171,3
2.0,rafm_empirical,q995_err,0.0698143,0.0153565,3
2.0,rafm_empirical,radial_w1,1.06938,0.203725,3
2.0,rafm_empirical,sample_time_s,0.239059,0.0170009,3
2.0,rafm_empirical,sliced_w1,0.884276,0.0670673,3
2.0,rafm_empirical,tail_exc_95,0.00496667,0.0010274,3
2.0,rafm_empirical,tail_exc_99,0.00123333,0.000262467,3
2.0,rafm_empirical,total_train_time_s,32.3785,0.0333024,3
2.0,rafm_oracle,angular_sw_bin0,0.0226042,0.00362888,3
2.0,rafm_oracle,angular_sw_bin1,0.0210384,0.000781396,3
2.0,rafm_oracle,angular_sw_bin2,0.0238606,0.00251753,3
2.0,rafm_oracle,angular_sw_bin3,0.0199052,0.00289617,3
2.0,rafm_oracle,angular_sw_mean,0.0218521,0.000605123,3
2.0,rafm_oracle,exploding_norm_rate,0,0,3
2.0,rafm_oracle,invalid_rate,0,0,3
2.0,rafm_oracle,ks_stat,0.0128333,0.00262466,3
2.0,rafm_oracle,mmd,0.00191832,0.000233179,3
2.0,rafm_oracle,nan_rate,0,0,3
2.0,rafm_oracle,nfe,512,0,3
2.0,rafm_oracle,q950_err,0.0289337,0.0204824,3
2.0,rafm_oracle,q990_err,0.0384228,0.0165442,3
2.0,rafm_oracle,q995_err,0.0816214,0.0424177,3
2.0,rafm_oracle,radial_w1,1.27168,0.162689,3
2.0,rafm_oracle,sample_time_s,0.278566,0.0203751,3
2.0,rafm_oracle,sliced_w1,0.88776,0.0649906,3
2.0,rafm_oracle,tail_exc_95,0.0032,0.00231517,3
2.0,rafm_oracle,tail_exc_99,0.0008,0.000509902,3
2.0,rafm_oracle,total_train_time_s,32.4055,0.170668,3
2.0,source_only_empirical,angular_sw_bin0,0.0301685,0.0025218,3
2.0,source_only_empirical,angular_sw_bin1,0.025027,0.00257681,3
2.0,source_only_empirical,angular_sw_bin2,0.025944,0.000781347,3
2.0,source_only_empirical,angular_sw_bin3,0.0272633,0.0029632,3
2.0,source_only_empirical,angular_sw_mean,0.0271007,0.001169,3
2.0,source_only_empirical,exploding_norm_rate,6.66667e-05,4.71405e-05,3
2.0,source_only_empirical,invalid_rate,6.66667e-05,4.71405e-05,3
2.0,source_only_empirical,ks_stat,0.0676,0.0134591,3
2.0,source_only_empirical,mmd,0.00389624,0.00029678,3
2.0,source_only_empirical,nan_rate,0,0,3
2.0,source_only_empirical,nfe,512,0,3
2.0,source_only_empirical,q950_err,0.115586,0.0114073,3
2.0,source_only_empirical,q990_err,0.0268348,0.0125282,3
2.0,source_only_empirical,q995_err,0.056885,0.0156541,3
2.0,source_only_empirical,radial_w1,3.34495,0.238822,3
2.0,source_only_empirical,sample_time_s,0.169697,0.00862539,3
2.0,source_only_empirical,sliced_w1,1.22658,0.0421546,3
2.0,source_only_empirical,tail_exc_95,0.0144333,0.00257207,3
2.0,source_only_empirical,tail_exc_99,0.0008,0.000424264,3
2.0,source_only_empirical,total_train_time_s,18.2836,0.54915,3
3.0,gaussian_fm,angular_sw_bin0,0.0153723,0.00164908,3
3.0,gaussian_fm,angular_sw_bin1,0.0148463,0.00152838,3
3.0,gaussian_fm,angular_sw_bin2,0.0137073,0.000793047,3
3.0,gaussian_fm,angular_sw_bin3,0.0182994,0.00244487,3
3.0,gaussian_fm,angular_sw_mean,0.0155563,0.000864503,3
3.0,gaussian_fm,exploding_norm_rate,0,0,3
3.0,gaussian_fm,invalid_rate,0,0,3
3.0,gaussian_fm,ks_stat,0.0752,0.0698622,3
3.0,gaussian_fm,mmd,0.00115689,0.000704423,3
3.0,gaussian_fm,nan_rate,0,0,3
3.0,gaussian_fm,nfe,512,0,3
3.0,gaussian_fm,q950_err,0.0550448,0.0122033,3
3.0,gaussian_fm,q990_err,0.232079,0.0222142,3
3.0,gaussian_fm,q995_err,0.328794,0.0287607,3
3.0,gaussian_fm,radial_w1,1.82067,1.10055,3
3.0,gaussian_fm,sample_time_s,0.157886,0.00853059,3
3.0,gaussian_fm,sliced_w1,0.445428,0.122834,3
3.0,gaussian_fm,tail_exc_95,0.0156333,0.00257466,3
3.0,gaussian_fm,tail_exc_99,0.0096,0.000374166,3
3.0,gaussian_fm,total_train_time_s,17.0951,0.0776757,3
3.0,rafm_empirical,angular_sw_bin0,0.0127491,0.00126507,3
3.0,rafm_empirical,angular_sw_bin1,0.0130742,0.00164694,3
3.0,rafm_empirical,angular_sw_bin2,0.0114997,0.000254251,3
3.0,rafm_empirical,angular_sw_bin3,0.0134611,0.00086674,3
3.0,rafm_empirical,angular_sw_mean,0.012696,0.000210444,3
3.0,rafm_empirical,exploding_norm_rate,0,0,3
3.0,rafm_empirical,invalid_rate,0,0,3
3.0,rafm_empirical,ks_stat,0.00893335,0.0017461,3
3.0,rafm_empirical,mmd,0.000287374,4.29591e-05,3
3.0,rafm_empirical,nan_rate,0,0,3
3.0,rafm_empirical,nfe,512,0,3
3.0,rafm_empirical,q950_err,0.0253901,0.00608429,3
3.0,rafm_empirical,q990_err,0.024476,0.0190218,3
3.0,rafm_empirical,q995_err,0.0449907,0.00994605,3
3.0,rafm_empirical,radial_w1,0.237818,0.0314409,3
3.0,rafm_empirical,sample_time_s,0.251059,0.0177825,3
3.0,rafm_empirical,sliced_w1,0.220885,0.00809264,3
3.0,rafm_empirical,tail_exc_95,0.00436667,0.00102089,3
3.0,rafm_empirical,tail_exc_99,0.0004,0.000294392,3
3.0,rafm_empirical,total_train_time_s,32.7289,0.360274,3
3.0,rafm_oracle,angular_sw_bin0,0.0127595,0.00257315,3
3.0,rafm_oracle,angular_sw_bin1,0.0125812,0.000513962,3
3.0,rafm_oracle,angular_sw_bin2,0.0127562,0.000189437,3
3.0,rafm_oracle,angular_sw_bin3,0.0141346,0.00146608,3
3.0,rafm_oracle,angular_sw_mean,0.0130579,0.000797527,3
3.0,rafm_oracle,exploding_norm_rate,0,0,3
3.0,rafm_oracle,invalid_rate,0,0,3
3.0,rafm_oracle,ks_stat,0.0135667,0.00204343,3
3.0,rafm_oracle,mmd,0.000303745,4.43645e-05,3
3.0,rafm_oracle,nan_rate,0,0,3
3.0,rafm_oracle,nfe,512,0,3
3.0,rafm_oracle,q950_err,0.0130495,0.0091239,3
3.0,rafm_oracle,q990_err,0.0213955,0.00438516,3
3.0,rafm_oracle,q995_err,0.0620882,0.0296343,3
3.0,rafm_oracle,radial_w1,0.260435,0.0642521,3
3.0,rafm_oracle,sample_time_s,0.265237,0.0288207,3
3.0,rafm_oracle,sliced_w1,0.228723,0.0160108,3
3.0,rafm_oracle,tail_exc_95,0.00263333,0.00159234,3
3.0,rafm_oracle,tail_exc_99,0.000666667,0.000235702,3
3.0,rafm_oracle,total_train_time_s,32.3874,0.0460661,3
3.0,source_only_empirical,angular_sw_bin0,0.0151545,0.00202351,3
3.0,source_only_empirical,angular_sw_bin1,0.0183672,0.00247961,3
3.0,source_only_empirical,angular_sw_bin2,0.0166228,0.00241782,3
3.0,source_only_empirical,angular_sw_bin3,0.0214043,0.00498299,3
3.0,source_only_empirical,angular_sw_mean,0.0178872,0.00206308,3
3.0,source_only_empirical,exploding_norm_rate,0,0,3
3.0,source_only_empirical,invalid_rate,0,0,3
3.0,source_only_empirical,ks_stat,0.0222667,0.00441235,3
3.0,source_only_empirical,mmd,0.00109756,0.000420784,3
3.0,source_only_empirical,nan_rate,0,0,3
3.0,source_only_empirical,nfe,512,0,3
3.0,source_only_empirical,q950_err,0.0125055,0.00396871,3
3.0,source_only_empirical,q990_err,0.0248125,0.0138416,3
3.0,source_only_empirical,q995_err,0.0425819,0.0327764,3
3.0,source_only_empirical,radial_w1,0.354041,0.119286,3
3.0,source_only_empirical,sample_time_s,0.167706,0.0166375,3
3.0,source_only_empirical,sliced_w1,0.394151,0.068655,3
3.0,source_only_empirical,tail_exc_95,0.00253333,0.00100775,3
3.0,source_only_empirical,tail_exc_99,0.00106667,0.000679869,3
3.0,source_only_empirical,total_train_time_s,18.0239,0.0349095,3
5.0,gaussian_fm,angular_sw_bin0,0.0111602,0.000846447,3
5.0,gaussian_fm,angular_sw_bin1,0.0129802,0.00134242,3
5.0,gaussian_fm,angular_sw_bin2,0.0114047,0.00127429,3
5.0,gaussian_fm,angular_sw_bin3,0.0148134,0.00310913,3
5.0,gaussian_fm,angular_sw_mean,0.0125896,0.00135629,3
5.0,gaussian_fm,exploding_norm_rate,0,0,3
5.0,gaussian_fm,invalid_rate,0,0,3
5.0,gaussian_fm,ks_stat,0.0381,0.00601166,3
5.0,gaussian_fm,mmd,0.000369827,0.000110784,3
5.0,gaussian_fm,nan_rate,0,0,3
5.0,gaussian_fm,nfe,512,0,3
5.0,gaussian_fm,q950_err,0.0220239,0.0113019,3
5.0,gaussian_fm,q990_err,0.0811547,0.0241296,3
5.0,gaussian_fm,q995_err,0.112545,0.0171961,3
5.0,gaussian_fm,radial_w1,0.470085,0.0394474,3
5.0,gaussian_fm,sample_time_s,0.165378,0.021452,3
5.0,gaussian_fm,sliced_w1,0.178971,0.0242553,3
5.0,gaussian_fm,tail_exc_95,0.00736667,0.00379678,3
5.0,gaussian_fm,tail_exc_99,0.00613333,0.000684755,3
5.0,gaussian_fm,total_train_time_s,17.041,0.0418725,3
5.0,rafm_empirical,angular_sw_bin0,0.0113632,0.000519459,3
5.0,rafm_empirical,angular_sw_bin1,0.0112113,0.000818902,3
5.0,rafm_empirical,angular_sw_bin2,0.0107398,0.00131004,3
5.0,rafm_empirical,angular_sw_bin3,0.0106888,0.00156029,3
5.0,rafm_empirical,angular_sw_mean,0.0110008,0.000918748,3
5.0,rafm_empirical,exploding_norm_rate,0,0,3
5.0,rafm_empirical,invalid_rate,0,0,3
5.0,rafm_empirical,ks_stat,0.00966665,0.00134742,3
5.0,rafm_empirical,mmd,0.000201106,9.39289e-05,3
5.0,rafm_empirical,nan_rate,0,0,3
5.0,rafm_empirical,nfe,512,0,3
5.0,rafm_empirical,q950_err,0.010388,0.00467867,3
5.0,rafm_empirical,q990_err,0.00812143,0.00596545,3
5.0,rafm_empirical,q995_err,0.0179419,0.00969333,3
5.0,rafm_empirical,radial_w1,0.0999444,0.00509344,3
5.0,rafm_empirical,sample_time_s,0.278907,0.0195759,3
5.0,rafm_empirical,sliced_w1,0.130583,0.0211389,3
5.0,rafm_empirical,tail_exc_95,0.00266667,0.00101434,3
5.0,rafm_empirical,tail_exc_99,0.000333333,0.000262467,3
5.0,rafm_empirical,total_train_time_s,32.3597,0.126087,3
5.0,rafm_oracle,angular_sw_bin0,0.0112365,0.000650988,3
5.0,rafm_oracle,angular_sw_bin1,0.011313,0.00122496,3
5.0,rafm_oracle,angular_sw_bin2,0.0113068,0.000471226,3
5.0,rafm_oracle,angular_sw_bin3,0.0115951,0.000640676,3
5.0,rafm_oracle,angular_sw_mean,0.0113628,0.00054409,3
5.0,rafm_oracle,exploding_norm_rate,0,0,3
5.0,rafm_oracle,invalid_rate,0,0,3
5.0,rafm_oracle,ks_stat,0.0112666,0.00165394,3
5.0,rafm_oracle,mmd,0.000188192,7.71082e-05,3
5.0,rafm_oracle,nan_rate,0,0,3
5.0,rafm_oracle,nfe,512,0,3
5.0,rafm_oracle,q950_err,0.00880985,0.00578729,3
5.0,rafm_oracle,q990_err,0.00665334,0.00524583,3
5.0,rafm_oracle,q995_err,0.0194545,0.0154522,3
5.0,rafm_oracle,radial_w1,0.117317,0.020759,3
5.0,rafm_oracle,sample_time_s,0.264895,0.00357867,3
5.0,rafm_oracle,sliced_w1,0.12746,0.0186991,3
5.0,rafm_oracle,tail_exc_95,0.00226667,0.00175563,3
5.0,rafm_oracle,tail_exc_99,0.000566667,0.000402768,3
5.0,rafm_oracle,total_train_time_s,32.3219,0.117933,3
5.0,source_only_empirical,angular_sw_bin0,0.0126499,0.00168279,3
5.0,source_only_empirical,angular_sw_bin1,0.0132384,0.00127045,3
5.0,source_only_empirical,angular_sw_bin2,0.0129132,0.00195289,3
5.0,source_only_empirical,angular_sw_bin3,0.0152057,0.00289759,3
5.0,source_only_empirical,angular_sw_mean,0.0135018,0.00166906,3
5.0,source_only_empirical,exploding_norm_rate,0,0,3
5.0,source_only_empirical,invalid_rate,0,0,3
5.0,source_only_empirical,ks_stat,0.0197333,0.003151,3
5.0,source_only_empirical,mmd,0.000572761,0.000249677,3
5.0,source_only_empirical,nan_rate,0,0,3
5.0,source_only_empirical,nfe,512,0,3
5.0,source_only_empirical,q950_err,0.00933638,0.00506839,3
5.0,source_only_empirical,q990_err,0.0161108,0.0110433,3
5.0,source_only_empirical,q995_err,0.0182547,0.0116688,3
5.0,source_only_empirical,radial_w1,0.202986,0.012266,3
5.0,source_only_empirical,sample_time_s,0.166035,0.00741847,3
5.0,source_only_empirical,sliced_w1,0.201412,0.0430499,3
5.0,source_only_empirical,tail_exc_95,0.0035,0.00185472,3
5.0,source_only_empirical,tail_exc_99,0.000833333,0.00046428,3
5.0,source_only_empirical,total_train_time_s,17.8812,0.0772353,3
10.0,gaussian_fm,angular_sw_bin0,0.0114377,0.00182736,3
10.0,gaussian_fm,angular_sw_bin1,0.0131201,0.00241412,3
10.0,gaussian_fm,angular_sw_bin2,0.0123926,0.00115941,3
10.0,gaussian_fm,angular_sw_bin3,0.0168181,0.00100462,3
10.0,gaussian_fm,angular_sw_mean,0.0134421,0.00111483,3
10.0,gaussian_fm,exploding_norm_rate,0,0,3
10.0,gaussian_fm,invalid_rate,0,0,3
10.0,gaussian_fm,ks_stat,0.0200667,0.0060362,3
10.0,gaussian_fm,mmd,0.0005457,0.00012831,3
10.0,gaussian_fm,nan_rate,0,0,3
10.0,gaussian_fm,nfe,512,0,3
10.0,gaussian_fm,q950_err,0.0197641,0.0132685,3
10.0,gaussian_fm,q990_err,0.0271311,0.00636372,3
10.0,gaussian_fm,q995_err,0.0408305,0.00290972,3
10.0,gaussian_fm,radial_w1,0.191202,0.064358,3
10.0,gaussian_fm,sample_time_s,0.166714,0.0174357,3
10.0,gaussian_fm,sliced_w1,0.174188,0.0165777,3
10.0,gaussian_fm,tail_exc_95,0.00836667,0.00434,3
10.0,gaussian_fm,tail_exc_99,0.0031,0.000244949,3
10.0,gaussian_fm,total_train_time_s,16.965,0.0972431,3
10.0,rafm_empirical,angular_sw_bin0,0.0121312,0.00185705,3
10.0,rafm_empirical,angular_sw_bin1,0.0115062,0.000777197,3
10.0,rafm_empirical,angular_sw_bin2,0.0110325,0.000898841,3
10.0,rafm_empirical,angular_sw_bin3,0.0125196,0.000808922,3
10.0,rafm_empirical,angular_sw_mean,0.0117974,0.000338738,3
10.0,rafm_empirical,exploding_norm_rate,0,0,3
10.0,rafm_empirical,invalid_rate,0,0,3
10.0,rafm_empirical,ks_stat,0.0165333,0.000524938,3
10.0,rafm_empirical,mmd,0.00024116,6.56003e-05,3
10.0,rafm_empirical,nan_rate,0,0,3
10.0,rafm_empirical,nfe,512,0,3
10.0,rafm_empirical,q950_err,0.0115285,0.0028739,3
10.0,rafm_empirical,q990_err,0.00411403,0.00266177,3
10.0,rafm_empirical,q995_err,0.00805511,0.00801128,3
10.0,rafm_empirical,radial_w1,0.15628,0.00832778,3
10.0,rafm_empirical,sample_time_s,0.298575,0.0256207,3
10.0,rafm_empirical,sliced_w1,0.120314,0.0132904,3
10.0,rafm_empirical,tail_exc_95,0.00383333,0.00104987,3
10.0,rafm_empirical,tail_exc_99,0.000733333,0.000410961,3
10.0,rafm_empirical,total_train_time_s,32.7368,0.22459,3
10.0,rafm_oracle,angular_sw_bin0,0.0113324,0.000832535,3
10.0,rafm_oracle,angular_sw_bin1,0.0115937,0.00043439,3
10.0,rafm_oracle,angular_sw_bin2,0.0112632,0.000999162,3
10.0,rafm_oracle,angular_sw_bin3,0.0130119,0.000114121,3
10.0,rafm_oracle,angular_sw_mean,0.0118003,0.000189581,3
10.0,rafm_oracle,exploding_norm_rate,0,0,3
10.0,rafm_oracle,invalid_rate,0,0,3
10.0,rafm_oracle,ks_stat,0.00933334,0.0022126,3
10.0,rafm_oracle,mmd,0.000222325,5.01113e-05,3
10.0,rafm_oracle,nan_rate,0,0,3
10.0,rafm_oracle,nfe,512,0,3
10.0,rafm_oracle,q950_err,0.00424109,0.00229682,3
10.0,rafm_oracle,q990_err,0.00908652,0.00567715,3
10.0,rafm_oracle,q995_err,0.0125446,0.00399416,3
10.0,rafm_oracle,radial_w1,0.0804989,0.0194582,3
10.0,rafm_oracle,sample_time_s,0.239722,0.0221393,3
10.0,rafm_oracle,sliced_w1,0.115539,0.00952903,3
10.0,rafm_oracle,tail_exc_95,0.00186667,0.00117851,3
10.0,rafm_oracle,tail_exc_99,0.00126667,0.000946338,3
10.0,rafm_oracle,total_train_time_s,32.5725,0.193843,3
10.0,source_only_empirical,angular_sw_bin0,0.0118884,0.00045982,3
10.0,source_only_empirical,angular_sw_bin1,0.0114268,0.00227492,3
10.0,source_only_empirical,angular_sw_bin2,0.0115885,0.00111504,3
10.0,source_only_empirical,angular_sw_bin3,0.0157631,0.00300948,3
10.0,source_only_empirical,angular_sw_mean,0.0126667,0.00100061,3
10.0,source_only_empirical,exploding_norm_rate,0,0,3
10.0,source_only_empirical,invalid_rate,0,0,3
10.0,source_only_empirical,ks_stat,0.0242333,0.000805536,3
10.0,source_only_empirical,mmd,0.000335534,7.73467e-05,3
10.0,source_only_empirical,nan_rate,0,0,3
10.0,source_only_empirical,nfe,512,0,3
10.0,source_only_empirical,q950_err,0.00787146,0.00319264,3
10.0,source_only_empirical,q990_err,0.012218,0.00785564,3
10.0,source_only_empirical,q995_err,0.00862381,0.00637252,3
10.0,source_only_empirical,radial_w1,0.211892,0.0333466,3
10.0,source_only_empirical,sample_time_s,0.172198,0.0061408,3
10.0,source_only_empirical,sliced_w1,0.141271,0.015152,3
10.0,source_only_empirical,tail_exc_95,0.00313333,0.00106562,3
10.0,source_only_empirical,tail_exc_99,0.0012,0.000725718,3
10.0,source_only_empirical,total_train_time_s,17.9796,0.0480596,3
50.0,gaussian_fm,angular_sw_bin0,0.0138188,0.000872029,3
50.0,gaussian_fm,angular_sw_bin1,0.0140329,0.000561396,3
50.0,gaussian_fm,angular_sw_bin2,0.0126008,0.00168799,3
50.0,gaussian_fm,angular_sw_bin3,0.0144153,0.00336656,3
50.0,gaussian_fm,angular_sw_mean,0.0137169,0.0011289,3
50.0,gaussian_fm,exploding_norm_rate,0,0,3
50.0,gaussian_fm,invalid_rate,0,0,3
50.0,gaussian_fm,ks_stat,0.0115667,0.00339934,3
50.0,gaussian_fm,mmd,0.00053525,0.000270631,3
50.0,gaussian_fm,nan_rate,0,0,3
50.0,gaussian_fm,nfe,512,0,3
50.0,gaussian_fm,q950_err,0.00862865,0.0029483,3
50.0,gaussian_fm,q990_err,0.00154398,8.43062e-05,3
50.0,gaussian_fm,q995_err,0.00550264,0.00315758,3
50.0,gaussian_fm,radial_w1,0.0815532,0.0328114,3
50.0,gaussian_fm,sample_time_s,0.140358,0.00800431,3
50.0,gaussian_fm,sliced_w1,0.148068,0.0379331,3
50.0,gaussian_fm,tail_exc_95,0.00353333,0.00137194,3
50.0,gaussian_fm,tail_exc_99,0.000266667,9.42805e-05,3
50.0,gaussian_fm,total_train_time_s,17.0815,0.185836,3
50.0,rafm_empirical,angular_sw_bin0,0.0131596,0.00140397,2
50.0,rafm_empirical,angular_sw_bin1,0.0100069,0.000824552,2
50.0,rafm_empirical,angular_sw_bin2,0.0112482,0.00118658,2
50.0,rafm_empirical,angular_sw_bin3,0.0105316,0.000306116,2
50.0,rafm_empirical,angular_sw_mean,0.0112366,0.000777247,2
50.0,rafm_empirical,exploding_norm_rate,0,0,2
50.0,rafm_empirical,invalid_rate,0,0,2
50.0,rafm_empirical,ks_stat,0.0144,0.0038,2
50.0,rafm_empirical,mmd,0.000234604,9.5129e-05,2
50.0,rafm_empirical,nan_rate,0,0,2
50.0,rafm_empirical,nfe,512,0,2
50.0,rafm_empirical,q950_err,0.00308833,0.00152433,2
50.0,rafm_empirical,q990_err,0.00291065,0.000466204,2
50.0,rafm_empirical,q995_err,0.00540751,0.0022738,2
50.0,rafm_empirical,radial_w1,0.0725954,0.0084356,2
50.0,rafm_empirical,sample_time_s,0.265325,0.0262487,2
50.0,rafm_empirical,sliced_w1,0.104427,0.0176509,2
50.0,rafm_empirical,tail_exc_95,0.0012,0.0007,2
50.0,rafm_empirical,tail_exc_99,0.00045,0.00035,2
50.0,rafm_empirical,total_train_time_s,32.7275,0.0471034,2
50.0,rafm_oracle,angular_sw_bin0,0.0139178,0.000524412,3
50.0,rafm_oracle,angular_sw_bin1,0.0122613,0.000861308,3
50.0,rafm_oracle,angular_sw_bin2,0.0108459,0.00121586,3
50.0,rafm_oracle,angular_sw_bin3,0.0125832,0.00124679,3
