kappa,method,metric,mean,std,n_seeds
3.0,rafm_empirical,angular_sw_mean,0.00835114,8.98829e-05,3
3.0,rafm_empirical,exploding_norm_rate,0,0,3
3.0,rafm_empirical,invalid_rate,0,0,3
3.0,rafm_empirical,ks_stat,0.0157,0.00249934,3
3.0,rafm_empirical,mmd,9.71953e-05,6.6873e-06,3
3.0,rafm_empirical,n_params,41504,0,3
3.0,rafm_empirical,nan_rate,0,0,3
3.0,rafm_empirical,nfe,512,0,3
3.0,rafm_empirical,q950_err,0.00241231,0.00166262,3
3.0,rafm_empirical,q990_err,0.00830878,0.00168823,3
3.0,rafm_empirical,q995_err,0.00868356,0.00631822,3
3.0,rafm_empirical,radial_w1,0.0372924,0.00318753,3
3.0,rafm_empirical,sample_time_s,0.248665,0.00377197,3
3.0,rafm_empirical,sliced_w1,0.0370964,0.000717805,3
3.0,rafm_empirical,tail_exc_95,0.0016,0.000864097,3
3.0,rafm_empirical,tail_exc_99,0.00203333,0.000286744,3
3.0,rafm_empirical,total_train_time_s,34.911,0.193233,3
3.0,source_only_empirical,angular_sw_bin0,0.0092536,0.00045472,3
3.0,source_only_empirical,angular_sw_bin1,0.00952109,0.000631705,3
3.0,source_only_empirical,angular_sw_bin2,0.00967411,0.000611905,3
3.0,source_only_empirical,angular_sw_bin3,0.00938004,0.000861037,3
3.0,source_only_empirical,angular_sw_mean,0.00945721,0.000592084,3
3.0,source_only_empirical,exploding_norm_rate,0,0,3
3.0,source_only_empirical,invalid_rate,0,0,3
3.0,source_only_empirical,ks_stat,0.0283,0.00331763,3
3.0,source_only_empirical,mmd,0.000419339,9.33285e-05,3
3.0,source_only_empirical,n_params,41504,0,3
3.0,source_only_empirical,nan_rate,0,0,3
3.0,source_only_empirical,nfe,512,0,3
3.0,source_only_empirical,q950_err,0.0133596,0.00161484,3
3.0,source_only_empirical,q990_err,0.0295067,0.0034207,3
3.0,source_only_empirical,q995_err,0.026614,0.00613756,3
3.0,source_only_empirical,radial_w1,0.0879451,0.00633102,3
3.0,source_only_empirical,sample_time_s,0.177333,0.00577923,3
3.0,source_only_empirical,sliced_w1,0.0633463,0.00609738,3
3.0,source_only_empirical,tail_exc_95,0.00956667,0.0018732,3
3.0,source_only_empirical,tail_exc_99,0.0071,0.000294392,3
3.0,source_only_empirical,total_train_time_s,18.6959,0.0241849,3
10.0,gaussian_fm,angular_sw_bin0,0.00976985,0.000749947,3
10.0,gaussian_fm,angular_sw_bin1,0.0106804,0.000140787,3
10.0,gaussian_fm,angular_sw_bin2,0.0118341,0.00146505,3
10.0,gaussian_fm,angular_sw_bin3,0.0124583,0.0022177,3
10.0,gaussian_fm,angular_sw_mean,0.0111856,0.000868307,3
10.0,gaussian_fm,exploding_norm_rate,0,0,3
10.0,gaussian_fm,invalid_rate,0,0,3
10.0,gaussian_fm,ks_stat,0.0396667,0.00491076,3
10.0,gaussian_fm,mmd,0.00102599,0.000110254,3
10.0,gaussian_fm,n_params,41504,0,3
10.0,gaussian_fm,nan_rate,0,0,3
10.0,gaussian_fm,nfe,512,0,3
10.0,gaussian_fm,q950_err,0.00960835,0.00755981,3
10.0,gaussian_fm,q990_err,0.021687,0.00936035,3
10.0,gaussian_fm,q995_err,0.0214386,0.00566401,3
10.0,gaussian_fm,radial_w1,0.382054,0.0231532,3
10.0,gaussian_fm,sample_time_s,0.156333,0.0162141,3
10.0,gaussian_fm,sliced_w1,0.240905,0.0147626,3
10.0,gaussian_fm,tail_exc_95,0.00576667,0.00471334,3
10.0,gaussian_fm,tail_exc_99,0.00333333,0.000880656,3
10.0,gaussian_fm,total_train_time_s,17.7115,0.0814705,3
10.0,rafm_empirical,angular_sw_bin0,0.00861861,0.000513332,3
10.0,rafm_empirical,angular_sw_bin1,0.00822657,0.000581638,3
10.0,rafm_empirical,angular_sw_bin2,0.00779667,0.000432064,3
10.0,rafm_empirical,angular_sw_bin3,0.00848235,0.000958132,3
10.0,rafm_empirical,angular_sw_mean,0.00828105,0.000337995,3
10.0,rafm_empirical,exploding_norm_rate,0,0,3
10.0,rafm_empirical,invalid_rate,0,0,3
10.0,rafm_empirical,ks_stat,0.0111,0.00193045,3
10.0,rafm_empirical,mmd,0.000298182,0.000122089,3
10.0,rafm_empirical,n_params,41504,0,3
10.0,rafm_empirical,nan_rate,0,0,3
10.0,rafm_empirical,nfe,512,0,3
10.0,rafm_empirical,q950_err,0.00262537,0.00249176,3
10.0,rafm_empirical,q990_err,0.00558273,0.00279753,3
10.0,rafm_empirical,q995_err,0.00620332,0.00282101,3
10.0,rafm_empirical,radial_w1,0.074274,0.00476019,3
10.0,rafm_empirical,sample_time_s,0.261833,0.0172946,3
10.0,rafm_empirical,sliced_w1,0.133629,0.0232322,3
10.0,rafm_empirical,tail_exc_95,0.001,0.000962635,3
10.0,rafm_empirical,tail_exc_99,0.000733333,0.000339935,3
10.0,rafm_empirical,total_train_time_s,34.5028,0.175102,3
10.0,source_only_empirical,angular_sw_bin0,0.00969303,0.00134142,3
10.0,source_only_empirical,angular_sw_bin1,0.010247,0.00116465,3
10.0,source_only_empirical,angular_sw_bin2,0.0112372,0.00134541,3
10.0,source_only_empirical,angular_sw_bin3,0.0113792,0.0015117,3
10.0,source_only_empirical,angular_sw_mean,0.0106391,0.00113687,3
10.0,source_only_empirical,exploding_norm_rate,0,0,3
10.0,source_only_empirical,invalid_rate,0,0,3
10.0,source_only_empirical,ks_stat,0.0367667,0.00407786,3
10.0,source_only_empirical,mmd,0.000959555,0.000446195,3
10.0,source_only_empirical,n_params,41504,0,3
10.0,source_only_empirical,nan_rate,0,0,3
10.0,source_only_empirical,nfe,512,0,3
10.0,source_only_empirical,q950_err,0.0201243,0.000568364,3
10.0,source_only_empirical,q990_err,0.024246,0.00270899,3
10.0,source_only_empirical,q995_err,0.0302141,0.00701475,3
10.0,source_only_empirical,radial_w1,0.438061,0.0208163,3
10.0,source_only_empirical,sample_time_s,0.193333,0.013665,3
10.0,source_only_empirical,sliced_w1,0.221571,0.052677,3
10.0,source_only_empirical,tail_exc_95,0.0117,0.000244949,3
10.0,source_only_empirical,tail_exc_99,0.00403333,9.42812e-05,3
10.0,source_only_empirical,total_train_time_s,18.6884,0.0706696,3
30.0,gaussian_fm,angular_sw_bin0,0.0118403,0.000764349,3
30.0,gaussian_fm,angular_sw_bin1,0.0118884,0.000819185,3
30.0,gaussian_fm,angular_sw_bin2,0.0146733,0.00222729,3
30.0,gaussian_fm,angular_sw_bin3,0.021121,0.0048334,3
30.0,gaussian_fm,angular_sw_mean,0.0148808,0.00205771,3
30.0,gaussian_fm,exploding_norm_rate,0,0,3
30.0,gaussian_fm,invalid_rate,0,0,3
30.0,gaussian_fm,ks_stat,0.0681333,0.00775686,3
30.0,gaussian_fm,mmd,0.00314045,0.00122349,3
30.0,gaussian_fm,n_params,41504,0,3
30.0,gaussian_fm,nan_rate,0,0,3
30.0,gaussian_fm,nfe,512,0,3
30.0,gaussian_fm,q950_err,0.0148988,0.00981361,3
30.0,gaussian_fm,q990_err,0.0356904,0.0101082,3
30.0,gaussian_fm,q995_err,0.0484469,0.00996456,3
30.0,gaussian_fm,radial_w1,1.95941,0.243122,3
30.0,gaussian_fm,sample_time_s,0.173003,0.0300583,3
30.0,gaussian_fm,sliced_w1,1.00523,0.219262,3
30.0,gaussian_fm,tail_exc_95,0.0081,0.00481941,3
30.0,gaussian_fm,tail_exc_99,0.0049,0.000864099,3
30.0,gaussian_fm,total_train_time_s,17.8421,0.0503769,3
30.0,rafm_empirical,angular_sw_bin0,0.00918354,0.000900875,3
30.0,rafm_empirical,angular_sw_bin1,0.0096131,0.00109697,3
30.0,rafm_empirical,angular_sw_bin2,0.00900968,0.000946687,3
30.0,rafm_empirical,angular_sw_bin3,0.0108701,0.000850709,3
30.0,rafm_empirical,angular_sw_mean,0.0096691,0.000767922,3
30.0,rafm_empirical,exploding_norm_rate,0,0,3
30.0,rafm_empirical,invalid_rate,0,0,3
30.0,rafm_empirical,ks_stat,0.0133667,0.0014727,3
30.0,rafm_empirical,mmd,0.000594656,0.000217925,3
30.0,rafm_empirical,n_params,41504,0,3
30.0,rafm_empirical,nan_rate,0,0,3
30.0,rafm_empirical,nfe,512,0,3
30.0,rafm_empirical,q950_err,0.00341983,0.00174766,3
30.0,rafm_empirical,q990_err,0.00212632,0.00135716,3
30.0,rafm_empirical,q995_err,0.00937115,0.00509017,3
30.0,rafm_empirical,radial_w1,0.228673,0.0322836,3
30.0,rafm_empirical,sample_time_s,0.271678,0.00552708,3
30.0,rafm_empirical,sliced_w1,0.449054,0.0786016,3
30.0,rafm_empirical,tail_exc_95,0.0015,0.00099331,3
30.0,rafm_empirical,tail_exc_99,0.000533334,0.000286744,3
30.0,rafm_empirical,total_train_time_s,34.8103,0.174914,3
30.0,source_only_empirical,angular_sw_bin0,0.00996979,0.00116889,3
30.0,source_only_empirical,angular_sw_bin1,0.0101736,0.000803084,3
30.0,source_only_empirical,angular_sw_bin2,0.0116463,0.00148473,3
30.0,source_only_empirical,angular_sw_bin3,0.0123155,0.00282452,3
30.0,source_only_empirical,angular_sw_mean,0.0110263,0.00148192,3
30.0,source_only_empirical,exploding_norm_rate,0,0,3
30.0,source_only_empirical,invalid_rate,0,0,3
30.0,source_only_empirical,ks_stat,0.0398667,0.00423189,3
30.0,source_only_empirical,mmd,0.000936747,0.000435637,3
30.0,source_only_empirical,n_params,41504,0,3
30.0,source_only_empirical,nan_rate,0,0,3
30.0,source_only_empirical,nfe,512,0,3
30.0,source_only_empirical,q950_err,0.0363755,0.00202031,3
30.0,source_only_empirical,q990_err,0.0343304,0.00323691,3
30.0,source_only_empirical,q995_err,0.0323689,0.00510048,3
30.0,source_only_empirical,radial_w1,1.42768,0.105801,3
30.0,source_only_empirical,sample_time_s,0.180334,0.00802548,3
30.0,source_only_empirical,sliced_w1,0.549327,0.121287,3
30.0,source_only_empirical,tail_exc_95,0.0192,0.00141657,3
30.0,source_only_empirical,tail_exc_99,0.00493333,0.000262467,3
30.0,source_only_empirical,total_train_time_s,18.7911,0.0331399,3
100.0,gaussian_fm,angular_sw_bin0,0.0130561,0.00186015,3
100.0,gaussian_fm,angular_sw_bin1,0.0137255,0.00141784,3
100.0,gaussian_fm,angular_sw_bin2,0.0139767,0.00156346,3
100.0,gaussian_fm,angular_sw_bin3,0.0236532,0.00604072,3
100.0,gaussian_fm,angular_sw_mean,0.0161029,0.00257506,3
100.0,gaussian_fm,exploding_norm_rate,0,0,3
100.0,gaussian_fm,invalid_rate,0,0,3
100.0,gaussian_fm,ks_stat,0.0712,0.0108894,3
100.0,gaussian_fm,mmd,0.00255903,0.00107532,3
100.0,gaussian_fm,n_params,41504,0,3
100.0,gaussian_fm,nan_rate,0,0,3
100.0,gaussian_fm,nfe,512,0,3
100.0,gaussian_fm,q950_err,0.102141,0.0114418,3
100.0,gaussian_fm,q990_err,0.12802,0.0179468,3
100.0,gaussian_fm,q995_err,0.135056,0.0208045,3
100.0,gaussian_fm,radial_w1,8.44449,1.04448,3
100.0,gaussian_fm,sample_time_s,0.188334,0.0296864,3
100.0,gaussian_fm,sliced_w1,2.78144,0.550544,3
100.0,gaussian_fm,tail_exc_95,0.0375,0.00351378,3
100.0,gaussian_fm,tail_exc_99,0.0092,0.000496655,3
100.0,gaussian_fm,total_train_time_s,17.9889,0.228852,3
100.0,rafm_empirical,angular_sw_bin0,0.0113519,0.000311176,3
100.0,rafm_empirical,angular_sw_bin1,0.00976326,2.85531e-05,3
100.0,rafm_empirical,angular_sw_bin2,0.00829454,7.12419e-05,3
100.0,rafm_empirical,angular_sw_bin3,0.00949156,0.000315526,3
100.0,rafm_empirical,angular_sw_mean,0.00972531,0.000104634,3
100.0,rafm_empirical,exploding_norm_rate,0,0,3
100.0,rafm_empirical,invalid_rate,0,0,3
100.0,rafm_empirical,ks_stat,0.0112667,0.00117283,3
100.0,rafm_empirical,mmd,0.000308235,7.15474e-05,3
100.0,rafm_empirical,n_params,41504,0,3
100.0,rafm_empirical,nan_rate,0,0,3
100.0,rafm_empirical,nfe,512,0,3
100.0,rafm_empirical,q950_err,0.0127992,0.00349912,3
100.0,rafm_empirical,q990_err,0.00390889,0.00238414,3
100.0,rafm_empirical,q995_err,0.013775,0.00151883,3
100.0,rafm_empirical,radial_w1,0.98017,0.0764739,3
100.0,rafm_empirical,sample_time_s,0.256501,0.00672061,3
100.0,rafm_empirical,sliced_w1,1.09552,0.102841,3
100.0,rafm_empirical,tail_exc_95,0.00453333,0.00112645,3
100.0,rafm_empirical,tail_exc_99,0.000333333,0.000262467,3
100.0,rafm_empirical,total_train_time_s,34.7527,0.366635,3
100.0,source_only_empirical,angular_sw_bin0,0.0113421,0.000665887,3
100.0,source_only_empirical,angular_sw_bin1,0.0105454,0.000559134,3
100.0,source_only_empirical,angular_sw_bin2,0.0121383,0.00158331,3
100.0,source_only_empirical,angular_sw_bin3,0.0118656,0.0023426,3
100.0,source_only_empirical,angular_sw_mean,0.0114728,0.000974888,3
100.0,source_only_empirical,exploding_norm_rate,0,0,3
100.0,source_only_empirical,invalid_rate,0,0,3
100.0,source_only_empirical,ks_stat,0.0354667,0.00412016,3
100.0,source_only_empirical,mmd,0.000967582,0.000325459,3
100.0,source_only_empirical,n_params,41504,0,3
100.0,source_only_empirical,nan_rate,0,0,3
100.0,source_only_empirical,nfe,512,0,3
100.0,source_only_empirical,q950_err,0.0200728,0.0100461,3
100.0,source_only_empirical,q990_err,0.0288338,0.00800061,3
100.0,source_only_empirical,q995_err,0.0248679,0.0116442,3
100.0,source_only_empirical,radial_w1,3.82827,0.289965,3
100.0,source_only_empirical,sample_time_s,0.188166,0.0104733,3
100.0,source_only_empirical,sliced_w1,1.71629,0.299061,3
100.0,source_only_empirical,tail_exc_95,0.00913333,0.00425937,3
100.0,source_only_empirical,tail_exc_99,0.0039,0.00139284,3
100.0,source_only_empirical,total_train_time_s,18.9046,0.0278246,3
300.0,gaussian_fm,angular_sw_bin0,0.015599,0.00308504,3
300.0,gaussian_fm,angular_sw_bin1,0.0161456,0.00204936,3
300.0,gaussian_fm,angular_sw_bin2,0.0290371,0.00789529,3
300.0,gaussian_fm,angular_sw_bin3,0.0585165,0.0160388,3
300.0,gaussian_fm,angular_sw_mean,0.0298245,0.00518436,3
300.0,gaussian_fm,exploding_norm_rate,0,0,3
300.0,gaussian_fm,invalid_rate,0,0,3
300.0,gaussian_fm,ks_stat,0.101733,0.0121497,3
300.0,gaussian_fm,mmd,0.00861788,0.00455172,3
300.0,gaussian_fm,n_params,41504,0,3
300.0,gaussian_fm,nan_rate,0,0,3
300.0,gaussian_fm,nfe,512,0,3
300.0,gaussian_fm,q950_err,0.132489,0.00973023,3
300.0,gaussian_fm,q990_err,0.164612,0.00464267,3
300.0,gaussian_fm,q995_err,0.183074,0.00693302,3
300.0,gaussian_fm,radial_w1,37.3715,2.50173,3
300.0,gaussian_fm,sample_time_s,0.172167,0.0126844,3
300.0,gaussian_fm,sliced_w1,13.7835,3.38097,3
300.0,gaussian_fm,tail_exc_95,0.0447,0.000748331,3
300.0,gaussian_fm,tail_exc_99,0.0098,8.16497e-05,3
300.0,gaussian_fm,total_train_time_s,17.6997,0.0981718,3
300.0,rafm_empirical,angular_sw_bin0,0.0139615,0.000446313,3
300.0,rafm_empirical,angular_sw_bin1,0.0103268,0.0010491,3
300.0,rafm_empirical,angular_sw_bin2,0.010295,0.00123882,3
300.0,rafm_empirical,angular_sw_bin3,0.0135003,0.000707455,3
300.0,rafm_empirical,angular_sw_mean,0.0120209,0.000210834,3
300.0,rafm_empirical,exploding_norm_rate,0,0,3
300.0,rafm_empirical,invalid_rate,0,0,3
300.0,rafm_empirical,ks_stat,0.0147667,0.000339942,3
300.0,rafm_empirical,mmd,0.000595729,9.74655e-05,3
300.0,rafm_empirical,n_params,41504,0,3
300.0,rafm_empirical,nan_rate,0,0,3
300.0,rafm_empirical,nfe,512,0,3
300.0,rafm_empirical,q950_err,0.00332709,0.000736405,3
300.0,rafm_empirical,q990_err,0.0308034,0.0040683,3
300.0,rafm_empirical,q995_err,0.0429594,0.0116523,3
300.0,rafm_empirical,radial_w1,3.24719,0.446471,3
300.0,rafm_empirical,sample_time_s,0.305184,0.037262,3
300.0,rafm_empirical,sliced_w1,4.20338,0.286533,3
300.0,rafm_empirical,tail_exc_95,0.00133333,0.000124722,3
300.0,rafm_empirical,tail_exc_99,0.00396667,0.000956847,3
300.0,rafm_empirical,total_train_time_s,34.6377,0.0360671,3
300.0,source_only_empirical,angular_sw_bin0,0.0100146,0.0012391,3
300.0,source_only_empirical,angular_sw_bin1,0.0100181,0.000886262,3
300.0,source_only_empirical,angular_sw_bin2,0.00979229,0.00298756,3
300.0,source_only_empirical,angular_sw_bin3,0.0117902,0.00231919,3
300.0,source_only_empirical,angular_sw_mean,0.0104038,0.00172856,3
300.0,source_only_empirical,exploding_norm_rate,0,0,3
300.0,source_only_empirical,invalid_rate,0,0,3
300.0,source_only_empirical,ks_stat,0.0533333,0.00424683,3
300.0,source_only_empirical,mmd,0.0012598,0.000447973,3
300.0,source_only_empirical,n_params,41504,0,3
300.0,source_only_empirical,nan_rate,0,0,3
300.0,source_only_empirical,nfe,512,0,3
300.0,source_only_empirical,q950_err,0.101855,0.0335418,3
300.0,source_only_empirical,q990_err,0.174655,0.0622307,3
300.0,source_only_empirical,q995_err,0.187213,0.0615906,3
300.0,source_only_empirical,radial_w1,24.0427,4.04881,3
300.0,source_only_empirical,sample_time_s,0.177002,0.00883225,3
300.0,source_only_empirical,sliced_w1,5.73981,1.16156,3
300.0,source_only_empirical,tail_exc_95,0.0387667,0.011515,3
300.0,source_only_empirical,tail_exc_99,0.0259333,0.00845235,3
300.0,source_only_empirical,total_train_time_s,18.9516,0.0691319,3
